Date:2022_05_03
Time:12_15_06 Eastern Daylight Time
pdh3 
# Time(sec), Measured F1(Hz) 
0.0,17035.83198554362
0.3276797651191443,39651866.51612579
0.6553595302382886,178612571.37484902
0.983039295357433,215003323.58018863
1.3107190604765773,192154454.3882234
1.6383988255957216,193054001.79605725
1.966078590714866,197495833.61846125
2.2937583558340107,195948397.58952454
2.6214381209531554,195490477.4745026
2.9491178860722993,195926350.78595376
3.2767976511914436,195870219.88512284
3.604477416310588,195775318.12982357
3.9321571814297323,195854596.64544508
4.259836946548877,195846939.89167213
4.58751671166802,195833266.59925127
4.915196476787165,195840567.70935893
5.242876241906309,195816202.6357178
5.570556007025454,195804419.05000675
5.898235772144598,195842946.63868695
6.2259155372637425,195829426.9800113
6.553595302382886,195812274.91845363
6.881275067502031,195852430.24801445
7.208954832621175,195849842.12680778
7.53663459774032,195819304.75300285
7.864314362859464,195809611.15639853
8.191994127978608,195855671.67434734
8.519673893097753,195886011.49643776
8.847353658216896,195851189.97163123
9.17503342333604,195813573.188129
9.502713188455186,195792139.3400322
9.83039295357433,195795694.93344808
10.158072718693473,195827131.0732602
10.485752483812618,195849711.408395
10.813432248931763,195823311.8749075
11.141112014050908,195830422.30675077
11.46879177917005,195816523.84409183
11.796471544289195,195826589.10685033
12.12415130940834,195846906.379993
12.451831074527485,195870073.08946365
12.779510839646628,195854859.57857436
13.107190604765773,195836374.3716585
13.434870369884917,195841133.62368745
13.762550135004062,195860786.09575784
14.090229900123205,195837295.96296552
14.41790966524235,195823855.78647837
14.745589430361495,195848416.662283
15.07326919548064,195859704.60553855
15.400948960599782,195810009.72487056
15.728628725718927,195822760.19545794
16.056308490838074,195844499.11503303
16.383988255957217,195837634.99055082
16.711668021076363,195799358.0617351
17.039347786195506,195786362.67660844
17.36702755131465,195824796.61350268
17.694707316433796,195850243.35470736
18.02238708155294,195804223.3086586
18.350066846672085,195806415.69503498
18.67774661179123,195843635.01854974
19.00542637691037,195821603.80475456
19.333106142029518,195794102.76453868
19.66078590714866,195823250.90058964
19.988465672267804,195837620.40364772
20.31614543738695,195798316.92593893
